CN,O,C
Entrust Root Certification Authority,Entrust,US
QuoVadis Root CA 2,QuoVadis Limited,BM
QuoVadis Root CA 3,QuoVadis Limited,BM
DigiCert Assured ID Root CA,DigiCert Inc,US
DigiCert Global Root CA,DigiCert Inc,US
DigiCert High Assurance EV Root CA,DigiCert Inc,US
SwissSign Gold CA - G2,SwissSign AG,CH
SecureTrust CA,SecureTrust Corporation,US
Secure Global CA,SecureTrust Corporation,US
COMODO Certification Authority,COMODO CA Limited,GB
COMODO ECC Certification Authority,COMODO CA Limited,GB
Certigna,Dhimyotis,FR
,Chunghwa Telecom Co.,TW
,certSIGN,RO
NetLock Arany (Class Gold) Főtanúsítvány,NetLock Kft.,HU
Microsec e-Szigno Root CA 2009,Microsec Ltd.,HU
GlobalSign,GlobalSign,
Izenpe.com,IZENPE S.A.,ES
Go Daddy Root Certificate Authority - G2,GoDaddy.com,US
Starfield Root Certificate Authority - G2,Starfield Technologies,US
Starfield Services Root Certificate Authority - G2,Starfield Technologies,US
AffirmTrust Commercial,AffirmTrust,US
AffirmTrust Networking,AffirmTrust,US
AffirmTrust Premium,AffirmTrust,US
AffirmTrust Premium ECC,AffirmTrust,US
Certum Trusted Network CA,Unizeto Technologies S.A.,PL
TWCA Root Certification Authority,TAIWAN-CA,TW
,SECOM Trust Systems CO.,LTD.,JP
Actalis Authentication Root CA,Actalis S.p.A./03358520967,IT
Buypass Class 2 Root CA,Buypass AS-983163327,NO
Buypass Class 3 Root CA,Buypass AS-983163327,NO
T-TeleSec GlobalRoot Class 3,T-Systems Enterprise Services GmbH,DE
D-TRUST Root Class 3 CA 2 2009,D-Trust GmbH,DE
D-TRUST Root Class 3 CA 2 EV 2009,D-Trust GmbH,DE
CA Disig Root R2,Disig a.s.,SK
ACCVRAIZ1,ACCV,ES
TWCA Global Root CA,TAIWAN-CA,TW
TeliaSonera Root CA v1,TeliaSonera,
T-TeleSec GlobalRoot Class 2,T-Systems Enterprise Services GmbH,DE
Atos TrustedRoot 2011,Atos,DE
QuoVadis Root CA 1 G3,QuoVadis Limited,BM
QuoVadis Root CA 2 G3,QuoVadis Limited,BM
QuoVadis Root CA 3 G3,QuoVadis Limited,BM
DigiCert Assured ID Root G2,DigiCert Inc,US
DigiCert Assured ID Root G3,DigiCert Inc,US
DigiCert Global Root G2,DigiCert Inc,US
DigiCert Global Root G3,DigiCert Inc,US
DigiCert Trusted Root G4,DigiCert Inc,US
COMODO RSA Certification Authority,COMODO CA Limited,GB
USERTrust RSA Certification Authority,The USERTRUST Network,US
USERTrust ECC Certification Authority,The USERTRUST Network,US
GlobalSign,GlobalSign,
IdenTrust Commercial Root CA 1,IdenTrust,US
IdenTrust Public Sector Root CA 1,IdenTrust,US
Entrust Root Certification Authority - G2,Entrust,US
Entrust Root Certification Authority - EC1,Entrust,US
CFCA EV ROOT,China Financial Certification Authority,CN
OISTE WISeKey Global Root GB CA,WISeKey,CH
SZAFIR ROOT CA2,Krajowa Izba Rozliczeniowa S.A.,PL
Certum Trusted Network CA 2,Unizeto Technologies S.A.,PL
Hellenic Academic and Research Institutions RootCA 2015,Hellenic Academic and Research Institutions Cert. Authority,GR
Hellenic Academic and Research Institutions ECC RootCA 2015,Hellenic Academic and Research Institutions Cert. Authority,GR
ISRG Root X1,Internet Security Research Group,US
,FNMT-RCM,ES
Amazon Root CA 1,Amazon,US
Amazon Root CA 2,Amazon,US
Amazon Root CA 3,Amazon,US
Amazon Root CA 4,Amazon,US
TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1,Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK,TR
GDCA TrustAUTH R5 ROOT,GUANG DONG CERTIFICATE AUTHORITY CO.,LTD.,CN
SSL.com Root Certification Authority RSA,SSL Corporation,US
SSL.com Root Certification Authority ECC,SSL Corporation,US
SSL.com EV Root Certification Authority RSA R2,SSL Corporation,US
SSL.com EV Root Certification Authority ECC,SSL Corporation,US
GlobalSign,GlobalSign,
OISTE WISeKey Global Root GC CA,WISeKey,CH
UCA Global G2 Root,UniTrust,CN
UCA Extended Validation Root,UniTrust,CN
Certigna Root CA,Dhimyotis,FR
emSign Root CA - G1,eMudhra Technologies Limited,IN
emSign ECC Root CA - G3,eMudhra Technologies Limited,IN
emSign Root CA - C1,eMudhra Inc,US
emSign ECC Root CA - C3,eMudhra Inc,US
Hongkong Post Root CA 3,Hongkong Post,HK
Microsoft ECC Root Certificate Authority 2017,Microsoft Corporation,US
Microsoft RSA Root Certificate Authority 2017,Microsoft Corporation,US
e-Szigno Root CA 2017,Microsec Ltd.,HU
,CERTSIGN SA,RO
Trustwave Global Certification Authority,Trustwave Holdings,US
Trustwave Global ECC P256 Certification Authority,Trustwave Holdings,US
Trustwave Global ECC P384 Certification Authority,Trustwave Holdings,US
NAVER Global Root Certification Authority,NAVER BUSINESS PLATFORM Corp.,KR
AC RAIZ FNMT-RCM SERVIDORES SEGUROS,FNMT-RCM,ES
GlobalSign Root R46,GlobalSign nv-sa,BE
GlobalSign Root E46,GlobalSign nv-sa,BE
GLOBALTRUST 2020,e-commerce monitoring GmbH,AT
ANF Secure Server Root CA,ANF Autoridad de Certificacion,ES
Certum EC-384 CA,Asseco Data Systems S.A.,PL
Certum Trusted Root CA,Asseco Data Systems S.A.,PL
TunTrust Root CA,Agence Nationale de Certification Electronique,TN
HARICA TLS RSA Root CA 2021,Hellenic Academic and Research Institutions CA,GR
HARICA TLS ECC Root CA 2021,Hellenic Academic and Research Institutions CA,GR
Autoridad de Certificacion Firmaprofesional CIF A62634068,,ES
vTrus ECC Root CA,iTrusChina Co.,Ltd.,CN
vTrus Root CA,iTrusChina Co.,Ltd.,CN
ISRG Root X2,Internet Security Research Group,US
HiPKI Root CA - G1,Chunghwa Telecom Co.,TW
GlobalSign,GlobalSign,
GTS Root R1,Google Trust Services LLC,US
GTS Root R2,Google Trust Services LLC,US
GTS Root R3,Google Trust Services LLC,US
GTS Root R4,Google Trust Services LLC,US
Telia Root CA v2,Telia Finland Oyj,FI
D-TRUST BR Root CA 1 2020,D-Trust GmbH,DE
D-TRUST EV Root CA 1 2020,D-Trust GmbH,DE
DigiCert TLS ECC P384 Root G5,DigiCert,US
DigiCert TLS RSA4096 Root G5,DigiCert,US
Certainly Root R1,Certainly,US
Certainly Root E1,Certainly,US
Security Communication ECC RootCA1,SECOM Trust Systems CO.,LTD.,JP
BJCA Global Root CA1,BEIJING CERTIFICATE AUTHORITY,CN
BJCA Global Root CA2,BEIJING CERTIFICATE AUTHORITY,CN
Sectigo Public Server Authentication Root E46,Sectigo Limited,GB
Sectigo Public Server Authentication Root R46,Sectigo Limited,GB
SSL.com TLS RSA Root CA 2022,SSL Corporation,US
SSL.com TLS ECC Root CA 2022,SSL Corporation,US
Atos TrustedRoot Root CA ECC TLS 2021,Atos,DE
Atos TrustedRoot Root CA RSA TLS 2021,Atos,DE
TrustAsia Global Root CA G3,TrustAsia Technologies,CN
TrustAsia Global Root CA G4,TrustAsia Technologies,CN
Telekom Security TLS ECC Root 2020,Deutsche Telekom Security GmbH,DE
Telekom Security TLS RSA Root 2023,Deutsche Telekom Security GmbH,DE
FIRMAPROFESIONAL CA ROOT-A WEB,Firmaprofesional SA,ES
TWCA CYBER Root CA,TAIWAN-CA,TW
SecureSign Root CA12,Cybertrust Japan Co.,JP
SecureSign Root CA14,Cybertrust Japan Co.,JP
SecureSign Root CA15,Cybertrust Japan Co.,JP
D-TRUST BR Root CA 2 2023,D-Trust GmbH,DE
TrustAsia TLS ECC Root CA,TrustAsia Technologies,CN
TrustAsia TLS RSA Root CA,TrustAsia Technologies,CN
D-TRUST EV Root CA 2 2023,D-Trust GmbH,DE
SwissSign RSA TLS Root CA 2022 - 1,SwissSign AG,CH
OISTE Server Root ECC G1,OISTE Foundation,CH
OISTE Server Root RSA G1,OISTE Foundation,CH
e-Szigno TLS Root CA 2023,Microsec Ltd.,HU
